Date (UTC),URL,Image,Text,Scrape Date,Alert Type,Ransomware,Victimized Entity,Hashtagged country,Entity in image,Country,Industry
2024-06-01 17:53:00+00:00,https://twitter.com/dexpose_io/status/1796963383972901308#m,https://pbs.twimg.com/media/GPAYoUmXkAAjwD4.jpg,"DATA BREACH ALERT ???  - Allegedly leaked the database of Cell Chat  Threat actor claims to have leaked the organization's data, Which includes id, email, username, password etc. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-06-03 22:00:27+00:00,Data Breach,UNK,Cell Chat,UNK,CELL CHAT,United States,Telecommunication Services
2024-05-31 09:46:00+00:00,https://twitter.com/dexpose_io/status/1796478414821740855#m,https://pbs.twimg.com/media/GO5fjMhW0AAz1uL.jpg,"DATA BREACH ALERT ???  - Database of CloudFire allegedly leaked  Threat actor claims to have leaked 8GB data of CloudFire that contains username, email, password etc. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-06-03 22:00:27+00:00,Data Breach,UNK,CloudFire,UNK,CLOUDFIRE,ITALY,Software & Services
2024-05-30 21:09:00+00:00,https://twitter.com/dexpose_io/status/1796287884346966522#m,https://pbs.twimg.com/media/GO2yQBQXMAAPFaN.jpg,"RANSOMWARE ALERT ???  - Dreamwall falls victim to Akira Ransomware  The group claims to have access to the organization's data which includes personal data, medical files, contracts, agreements with other companies and financial data - #data_breach #data_leak #dark_web #DataBreach",2024-06-03 22:00:27+00:00,Ransomware,Akira Ransomware,Dreamwall,UNK,DREAMWALL,BELGIUM,Media & Entertainment
2024-05-29 08:41:00+00:00,https://twitter.com/dexpose_io/status/1795737215324377464#m,https://pbs.twimg.com/media/GOu9CdgWEAAZZt3.jpg,"DATA BREACH ALERT ???  - Database of PricewaterhouseCoopers allegedly leaked.  Threat actor claims to have leaked 255GB of data from the accounting firm PricewaterhouseCoopers (PWC) that includes client review documents, HR files, employee file share etc. - #data_breach #data_leak",2024-06-03 22:00:27+00:00,Data Breach,UNK,PricewaterhouseCoopers,UNK,PricewaterhouseCoopers,United Kingdom,Commercial & Professional Services
2024-05-27 13:35:00+00:00,https://twitter.com/dexpose_io/status/1795086516345016366#m,https://pbs.twimg.com/media/GOltlswXoAA812t.jpg,"RANSOMWARE ALERT ???  - Allied Telesis falls victim to LockBit Ransomware  Group claims to publish the organization's data on 03 june, 2024. Sample screenshots are added in their darkweb portal. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services #CyberThreat",2024-06-03 22:00:27+00:00,Ransomware,LockBit,Allied Telesis,UNK,Allied Telesis,United States,Telecommunication Services
2024-05-25 15:20:00+00:00,https://twitter.com/dexpose_io/status/1794388108236239198#m,https://pbs.twimg.com/media/GObyUNvXMAAA-v9.jpg,"DATA BREACH ALERT ??? - Alleged data leak of Spendly  Threat actor claims to have leaked the data of Spendly. Which includes ID, First Name, Last Name, Email, Password Hash, Phone Number, Role, Status, Verification, Score, Title etc. - #data_breach #data_leak #dark_web #DataBreach",2024-05-27 20:41:57+00:00,Data Breach,UNK,Spendly,UNK,SPENDLY,United States,Software & Services
2024-05-24 10:46:00+00:00,https://twitter.com/dexpose_io/status/1793956626426151245#m,https://pbs.twimg.com/media/GOVp986XEAAOt_B.jpg,"DATA BREACH ALERT ???  - Database of Virtusa allegedly leaked  Threat actor claims to have leaked database of the organization, . The compromised data contains employees' corporate and personal emails, LinkedIn profiles and Twitter accounts. - #data_breach #data_leak",2024-05-27 20:41:57+00:00,Data Breach,UNK,Virtusa,UNK,Virtusa,United States,Software & Services
2024-05-19 09:09:00+00:00,https://twitter.com/dexpose_io/status/1792120356771086363#m,https://pbs.twimg.com/media/GN7j3S3XMAAl8QR.jpg,"RANSOMWARE ALERT ???  - Universit?? degli Studi di Siena falls victim to LockBit Ransomware  The group claims to publish the organization's data on May 28, 2024.and provided sample screenshots. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services #CyberThreat",2024-05-27 20:41:57+00:00,Ransomware,LockBit,Universit?? degli Studi di Siena,UNK,Universit?? degli Studi di Siena,Italy,Government and public services
2024-05-18 15:08:00+00:00,https://twitter.com/dexpose_io/status/1791848270035079406#m,https://pbs.twimg.com/media/GN3saWmWoAAmTqw.jpg,"RANSOMWARE ALERT ???  - Data Records Management Services, LLC falls victim to INC RANSOM Ransomware  The group claims to have access to the organization's data. Sample screenshots are provided in their dark web portal. - #data_breach #data_leak #dark_web #DataBreach #DataLeak",2024-05-27 20:41:57+00:00,Ransomware,INC RANSOM,"Data Records Management Services, LLC",UNK,"Data Records Management Services, LLC",United States,Software & Services
2024-05-17 18:35:00+00:00,https://twitter.com/dexpose_io/status/1791538132816470524#m,https://pbs.twimg.com/media/GNzO-NWWMAA9L58.jpg,"DATA BREACH ALERT ???  - Allegedly, a court document reveals FBI agents' usernames used for data purchases. The threat actor claims the document includes aliases, forum targets, emails, and IP addresses for forum access.  #data_breach #data_leak #infosec #dark_web #DataBreach",2024-05-18 11:02:27+00:00,Data Breach,UNK,FBI agents,UNK,Federal Bureau of Investigation,United States,Government and public sector
2024-05-17 08:53:00+00:00,https://twitter.com/dexpose_io/status/1791391545888854018#m,https://pbs.twimg.com/media/GNxMnhcWcAAYhVO.jpg,"#DATA #BREACH #ALERT ???  - Alleged sale of database from France Solar  The threat actor is offering to sell a database from the French solar energy company, france-solar.fr. The database, dated May 14, 2024, contains information on 42,000 users with a total size of 200 MB",2024-05-18 11:02:27+00:00,Data Breach,UNK,France Solar,France,FRANCE SOLAR,FRANCE,Energy
2024-05-16 17:33:00+00:00,https://twitter.com/dexpose_io/status/1791160117347434908#m,https://pbs.twimg.com/media/GNt6bE8WQAAyEU8.jpg,"RANSOMWARE ALERT ???  - The Fulcrum Group, Inc. falls victim to Cactus Ransomware  The group claims to have access to 57GB of the organization's data. Providing sample screenshots on their dark web portal. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services",2024-05-18 11:02:27+00:00,Ransomware,Cactus Ransomware,"The Fulcrum Group, Inc.",UNK,"The Fulcrum Group, Inc.",United States,Software & Services
2024-05-16 13:04:00+00:00,https://twitter.com/dexpose_io/status/1791092317341778235#m,https://pbs.twimg.com/media/GNs832-WgAAHR6u.jpg,DATA BREACH ALERT ??? - Alleged sale of database access of B&G Ecoline and Radial Clutch Dispositivo Antisaltellamento  Threat actor claims to be selling access to B&G Ecoline and Radial Clutch Dispositivo Antisaltellamento. - #data_breach #data_leak #infosec #dark_web #DataBreach,2024-05-18 11:02:27+00:00,,,,,,,
2024-05-15 14:48:00+00:00,https://twitter.com/dexpose_io/status/1790756202697097328#m,https://pbs.twimg.com/media/GNoKMRoWwAEnyZb.jpg,"RANSOMWARE ALERT ???  - Caplosa falls victim to 8BASE Ransomware  Group claims to have access to the organization data. The claimed data includes Invoice, Receipts, Accounting documents, Employment contracts, Confidentiality agreements, Personal files and Other. - #data_breach",2024-05-15 23:33:17+00:00,Ransomware,8BASE,Caplosa,UNK,COPLOSA,SPAIN,Materials
2024-05-15 07:56:00+00:00,https://twitter.com/dexpose_io/status/1790652521569980450#m,https://pbs.twimg.com/media/GNms5HJXAAAEx9O.jpg,"DATA BREACH ALERT ???  - Database of Patriot Mobile allegedly kept for sale  Threat actor claims to be selling database of the organization, which includes AccountPIN, Full Names, Emails, Credit Score, Dates of Birth, SSN (Last 4), Account Balances & Enroll Types. - #data_breach",2024-05-15 17:07:23+00:00,Data Breach,UNK,Patriot Mobile,UNK,Patriot Mobile,United States,Telecommunication Services
2024-05-14 17:56:00+00:00,https://twitter.com/dexpose_io/status/1790441017264488656#m,https://pbs.twimg.com/media/GNjskNMXQAAqgiA.jpg,RANSOMWARE ALERT ???  - Watt Carmicheal falls victim to DragonForce Ransomware  The group claims to have obtained 27.3 GB of the organization's database. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-15 10:44:48+00:00,Ransomware,DragonForce,Watt Carmicheal,UNK,Watt Carmichael Inc.,Canada,Financial Services
2024-05-14 13:24:00+00:00,https://twitter.com/dexpose_io/status/1790372584518824082#m,https://pbs.twimg.com/media/GNiuVxsWYAA5-yL.jpg,RANSOMWARE ALERT ???  - Malon & Co. falls victim to DragonForce Ransomware  The group claims to have obtained 15.34 GB of the organization's database. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-15 10:44:48+00:00,Ransomware,DragonForce,Malon & Co.,UNK,Malone & Company Accountants Limited,United Kingdom,Commercial & Professional Services
2024-05-13 16:20:00+00:00,https://twitter.com/dexpose_io/status/1790054451014778918#m,https://pbs.twimg.com/media/GNeM6r2XwAUDby5.jpg,RANSOMWARE ALERT ???  - ACFIN SA falls victim to Cactus Ransomware  The group claims to have access to 460 GB of the organization's data. Providing sample screenshots on their dark web portal. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #CyberThreat #CyberAttack,2024-05-15 10:44:48+00:00,Ransomware,Cactus Ransomware,ACFIN SA,UNK,ACFIN SA,Chile,Financial Services
2024-05-13 13:27:00+00:00,https://twitter.com/dexpose_io/status/1790010918094487929#m,https://pbs.twimg.com/media/GNdlPw_WQAA5Ndc.jpg,RANSOMWARE ALERT ???  - Scanda Group falls victim to Cactus Ransomware  The group claims to have access to 387 GB of the organization's data. Providing sample screenshots on their dark web portal  #data_breach #data_leak #dark_web #DataBreach #DataLeak #CyberThreat #CyberAttack,2024-05-15 10:44:48+00:00,Ransomware,Cactus Ransomware,Scanda Group,UNK,SCANDA GROUP,MEXICO,Technology Hardware & Equipment
2024-05-12 20:11:00+00:00,https://twitter.com/dexpose_io/status/1789750379963437535#m,https://pbs.twimg.com/media/GNZ3m6OWUAAIn97.jpg,"RANSOMWARE ALERT ???  - Romeo Pitaro Injury and Litigation Lawyers falls #victim to BianLian Ransomware  Group #claims to have access to 310 GB of the organization's data. and claimed data includes Clients personal info, Email and msg archives.and provided sample screenshots. -",2024-05-15 10:44:48+00:00,Ransomware,BianLian Ransomware,Romeo Pitaro Injury and Litigation Lawyers,UNK,Romeo Pitaro Injury and Litigation Lawyers,Canada,Commercial & Professional Services
2024-05-12 12:16:00+00:00,https://twitter.com/dexpose_io/status/1789630620588458412#m,https://pbs.twimg.com/media/GNYLhXKWEAAjYxh.jpg,"DATA BREACH ALERT ???  - Database of National Cancer Institute, Nagpur allegedly leaked  Threat actor claims to have leaked database of the organization. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-15 10:44:48+00:00,Data Breach,UNK,"National Cancer Institute, Nagpur",UNK,"National Cancer Institute, Nagpur",India,Health Care Equipment & Services
2024-05-11 16:57:00+00:00,https://twitter.com/dexpose_io/status/1789339157489229892#m,https://pbs.twimg.com/media/GNUBsH5XgAA6_P4.jpg,"DATA #BREACH ALERT ???  - Alleged Leak of 120k Private Database of #Toyota Motor Philippines Corporation  #Threat_actor claims to have leaked the Private Database of 120k Toyota Motor Philippines Corporation customers data (2023). Phone Number, Age, City, Country, Email,etc.",2024-05-12 09:14:32+00:00,Data Breach,,Toyota Motor Philippines Corporation,Philippines,Toyota Motor Philippines Corporation,Philippines,Automobiles & Components
2024-05-10 17:13:00+00:00,https://twitter.com/dexpose_io/status/1788980661795098964#m,https://pbs.twimg.com/media/GNO8OohWQAAqA0r.jpg,"RANSOMWARE ALERT ???  - Reading Electric falls victim to Akira Ransomware  The group claims to have access to the 82 GB of organization's data, which includes personal documents, confidential agreements, contracts, financial data etc,  #data_breach #data_leak #dark_web #DataBreach",2024-05-12 09:14:32+00:00,Ransomware,Akira Ransomware,Reading Electric,,Reading Electric,United States,Commercial & Professional Services
2024-05-09 12:39:00+00:00,https://twitter.com/dexpose_io/status/1788549369349718366#m,https://pbs.twimg.com/media/GNI0HS9XQAAkr2c.jpg,"RANSOMWARE ALERT - Robinson, Farmer, Cox Associates falls victim to Lockbit ransomware  Group claims to have access to Organizations data and to publish the data on May 23 2024. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-12 09:14:32+00:00,Ransomware,Lockbit,"Robinson, Farmer, Cox Associates.",,"Robinson, Farmer, Cox Associates",United States,Commercial & Professional Services
2024-05-09 07:42:00+00:00,https://twitter.com/dexpose_io/status/1788474533168431134#m,https://pbs.twimg.com/media/GNHwDvZXcAEaR8z.jpg,RANSOMWARE ALERT - Softura falls victim to INC RANSOM Ransomware  Group claims to have access to more than 120 GB of organization data. Sample screenshots are provided on their Dark Web portal. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #CyberAttack,2024-05-12 09:14:32+00:00,Ransomware,INC RANSOM,Softura,,Softura,United States,Software & Services
2024-05-08 18:48:00+00:00,https://twitter.com/dexpose_io/status/1788279846138790226#m,https://pbs.twimg.com/media/GNE-9_WWsAAND63.jpg,"DATA BREACH ALERT - IT Rendszerhaz Kft database allegedly leaked  Threat actor claims to have posted a database of IT Rendszerhaz's internal network. Data includes SQL databases, employee photographs, invoices, access logs, website source code, and other data. - #data_breach",2024-05-12 09:14:32+00:00,Data Breach,,IT Rendszerhaz Kft,Hungary,IT SYSTEM HOUSE KFT,Hungary,Software & Services
2024-05-08 07:32:00+00:00,https://twitter.com/dexpose_io/status/1788109615328088445#m,https://pbs.twimg.com/media/GNCkLcGWEAALYzn.jpg,"RANSOMWARE ALERT - Consulting Radiologists falls victim to LockBit Ransomware  Group claims to publish the organization's data on May 9, 2024.  Sample screenshots are provided in their DarkWeb portal. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services",2024-05-12 09:14:32+00:00,Ransomware,LockBit,Consulting Radiologists,,Consulting Radiologists,United States,Health Care Equipment & Services
2024-05-07 20:04:00+00:00,https://twitter.com/dexpose_io/status/1787936496680391078#m,https://pbs.twimg.com/media/GNAGHuCWsAA75PA.jpg,"DATA BREACH ALERT - Allegedly leaked the database of Dolaab  Threat actor has leaked the database of Dolaab, an E-commerse and online store. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-12 09:14:32+00:00,Data Breach,,Dolaab,,DOLAB,Saudi Arabia,Health Care Equipment & Services
2024-05-07 07:07:00+00:00,https://twitter.com/dexpose_io/status/1787741107029213272#m,https://pbs.twimg.com/media/GM9VBP8WEAEb_L8.jpg,"RANSOMWARE ALERT - ELARABY Group falls victim to LockBit Ransomware  Group claims to publish the organization's data on May 21, 2024. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-12 09:14:32+00:00,Ransomware,LockBit,ELARABY Group,,ELARABY GROUP,Egypt,Consumer Durables & Apparel
2024-05-06 12:37:00+00:00,https://twitter.com/dexpose_io/status/1787461573927195077#m,https://pbs.twimg.com/media/GM5TlG0WIAAtLm7.jpg,1 out of 5 incidents begin with compromised credentials.  Get your free darkweb exposure report now : https://www.dexpose.io/free-darkweb-report/ - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-12 09:14:32+00:00,Data Breach,UNK,UNK,UNK,{'name': 'not fully visible'},provided,Insufficient Information
2024-05-05 20:01:00+00:00,https://twitter.com/dexpose_io/status/1787210920038383650#m,https://pbs.twimg.com/media/GM1yzv7XQAA8STm.jpg,"DATA BREACH ALERT - Allegedly leaked database of Hoy-voy  The threat actor claims to have obtained a database from Hoy-Voy Autoescuelas, a Spanish company in the education industry. - #data_breach #data_leak #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-12 09:14:32+00:00,Data Breach,UNK,Hoy-Voy Autoescuelas,Spain,HOY-VOY AUTOESCUELAS,Spain,Consumer Services
2024-05-05 11:04:00+00:00,https://twitter.com/dexpose_io/status/1787075841127821558#m,https://pbs.twimg.com/media/GMz1037WcAALQkE.jpg,"DATA BREACH ALERT  Alleged Leak of High Group Database  Threat actor claims to have leaked over 84 GB of data from the organization, which offers services in real estate, construction, and transportation infrastructure.  #databreach #dataleak #darkweb #cyberthreat #cyberattack",2024-05-12 09:14:32+00:00,Data Breach,,"The organization offers services in real estate, construction, and transportation infrastructure.",,HIGH GROUP,Israel,Real Estate Management & Development
2024-05-04 06:26:00+00:00,https://twitter.com/dexpose_io/status/1786643446138048604#m,https://pbs.twimg.com/media/GMtrPQHWEAcepmK.jpg,"DATA BREACH ALERT - Alleged sale of clients database from the JSC NIKORA  23,106 lines of client data from May 2024, including names, phone numbers, ID numbers, emails, and birthdates, reportedly for sale. - #databreach #dataleak #darkweb #cyberthreat #cyberattack",2024-05-12 09:14:32+00:00,,,,,,,
2024-05-03 17:32:00+00:00,https://twitter.com/dexpose_io/status/1786448687868067959#m,https://pbs.twimg.com/media/GMq9kFQXsAAIMNF.jpg,RANSOMWARE ALERT - US-Saudi Arabian Business Council falls victim to INC RANSOM Ransomware  Group claims to have obtained the organization's data. Sample screenshots are provided on their Dark Web portal. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak,2024-05-12 09:14:32+00:00,Ransomware,INC RANSOM,US-Saudi Arabian Business Council,UNK,U.S.-Saudi Arabian Business Council,United States,Commercial & Professional Services
2024-05-03 16:59:00+00:00,https://twitter.com/dexpose_io/status/1786440394953179587#m,https://pbs.twimg.com/media/GMq2B4FXYAINitT.jpg,DATA BREACH ALERT - Alleged database sale of EgonWallet  Threat actor is offering to sell the database of EgonWallet that contains 1.4 million Indian user details. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-12 09:14:32+00:00,Data Breach,,EgonWallet,India,EGONWALLET,BELIZE,Software & Services
2024-05-03 10:55:00+00:00,https://twitter.com/dexpose_io/status/1786348911998701859#m,https://pbs.twimg.com/media/GMpi1zYWwAAvrzJ.jpg,DATA BREACH ALERT - Alleged data sale of Lojas Besni  Threat actor is offering to sell the data of Lojas Besni that contains 1 million user credit card details. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-12 09:14:32+00:00,Data Breach,,Lojas Besni,,Lojas Besni,Brazil,Consumer Discretionary Distribution & Retail
2024-05-02 04:50:00+00:00,https://twitter.com/dexpose_io/status/1785894662433083456#m,https://pbs.twimg.com/media/GMjFtbJW4AAqdus.jpg,DATA BREACH ALERT - Database of Millions Poet allegedly kept for sale  Threat actor claims to be selling database of the organization. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-12 09:14:32+00:00,Data Breach,,Poet,,MILLIONS POET,UAE,Media & Entertainment
2024-05-01 16:58:00+00:00,https://twitter.com/dexpose_io/status/1785715544915693582#m,https://pbs.twimg.com/media/GMgiwQ3XkAAdbzz.jpg,"DATA BREACH ALERT - Allegedly leaked data from Les Miroirs St-Antoine Inc.  The threat actor claims to have obtained data from Les Miroirs St-Antoine Inc., a Canadian company in the building and construction industry. - #data_breach #data_leak #infosec #dark_web #DataBreach",2024-05-12 09:14:32+00:00,Data Breach,,Les Miroirs St-Antoine Inc.,Canada,LES MIROIRS ST-ANTOINE INC,Canada,Materials
2024-04-30 18:34:00+00:00,https://twitter.com/dexpose_io/status/1785377190848159812#m,https://pbs.twimg.com/media/GMbvCP2WcAAX0rp.jpg,"RANSOMWARE ALERT - ottlite falls victim to LockBit Ransomware  Group claims to publish the organization's data on May 2, 2024. and provided the sample screenshots of data. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack",2024-05-12 09:14:32+00:00,Ransomware,LockBit,ottlite,UNK,OTTLITE,United States,Consumer Durables & Apparel
2024-04-30 07:51:00+00:00,https://twitter.com/dexpose_io/status/1785215424583307612#m,https://pbs.twimg.com/media/GMZbuYZW0AAIEyZ.jpg,"RANSOMWARE ALERT - Black Diamond Capital Management falls victim to BlackBasta Ransomware  Group claims to have access to more than 900 GB of organization data, personal confidential documents, customer data, etc. They claim to publish the organization's data in 10-11 days.",2024-05-12 09:14:32+00:00,Ransomware,BlackBasta,Black Diamond Capital Management,,Black Diamond Capital Management,United States,Financial Services
2024-04-29 18:54:00+00:00,https://twitter.com/dexpose_io/status/1785019794573414538#m,https://pbs.twimg.com/media/GMWqBEhWwAAJTWq.jpg,RANSOMWARE ALERT - Spedition Weise GmbH falls victim to Cloak Ransomware  Group claim to have access to 100 GB of organizations data. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-05-12 09:14:32+00:00,Ransomware,Cloak,Spedition Weise GmbH,,SpeDITION WEISE GmbH,Germany,Transportation
2024-04-29 14:02:00+00:00,https://twitter.com/dexpose_io/status/1784946364813619632#m,https://pbs.twimg.com/media/GMVhfuTWEAAQ_rD.jpg,"DATA BREACH ALERT:   Alleged Sale of Canadian Solar Database  Sensitive information of 660 Auth Page users and data from 2 Access Code users, including full names, email addresses, logins, and passwords, reportedly available for sale.  #databreach #dataleak #darkweb #cyberthreat",2024-05-12 09:14:32+00:00,Data Breach,,Canadian Solar,Canada,Canadian Solar,Canada,Energy
